date_obs,pyramid,EE,FWHM_geom,RMS,STD,cx_std,cy_std,jx_std,jy_std,loop_rate
2025-10-01_06-58-49,3s,0.43084723158658417,2.834464420533845,0.007818421659786707,0.0014069156528270772,0.3423250215987864,0.21057743555496605,0.6397777025929161,0.8499175485550141,0.0010170936584472656
2025-10-01_06-59-09,4s,0.23159058104765454,4.960568202452475,0.006543677476849194,0.0013837050011408902,0.22201002243434453,0.1956564743981032,0.7783185120062627,0.6221971657836962,0.001999378204345703
2025-10-01_07-10-33,3s,0.3307680984910119,3.951774429990556,0.005521893268887511,0.0009091302443852469,0.12390994671785695,0.19094180025932367,0.7562411832849228,0.5552369502552497,0.0010004043579101562
2025-10-01_07-10-46,4s,0.2419430045910421,4.8523106342775595,0.012649834930947996,0.0029343314010595264,0.3614585870894656,0.43488830254698857,1.323984169706572,1.4580417059214885,0.0019998550415039062
2025-10-02_02-27-34,3s,0.5147909475042654,2.190003221339117,0.008743238913821082,0.0010813544530990519,0.7993169887691657,0.5815762649038014,0.759505471219045,0.36857761429065744,0.0010004043579101562
2025-10-02_02-27-46,4s,0.3941039833064439,2.9414471262578825,0.02022989552286351,0.006501648515157696,0.22962053762629273,0.57840999035598,1.755058320651162,0.7375548577054101,0.001996278762817383
2025-10-02_02-32-36,3s,0.39260602763125363,2.25959774056169,0.01599260278063542,0.0017279640199678932,0.4387805011305508,0.33136603121142344,0.2626794623817687,0.6605788674662894,0.0010693073272705078
2025-10-02_02-32-58,4s,0.29336050660257457,4.130655460839138,0.04657670206585536,0.019087271983279676,0.3806077648089753,0.8500564219198276,3.488640703645893,1.3829238282696616,0.0019965171813964844
2025-10-02_02-33-47,3s,0.6970597409277671,1.9054267553964073,0.0076609339880663666,0.0015549690820272734,0.37253059437475866,0.34246443607149013,0.49734319434992574,0.40235042181049724,0.0010004043579101562
2025-10-02_02-34-00,4s,0.43283802314888403,2.305200854064965,0.014821763998236951,0.00353639282324605,0.18741979570261735,0.3477651676344446,1.1453724339577265,0.6087129041454714,0.001999378204345703
2025-10-02_02-36-37,3s,0.5680334922248262,2.6026147212275177,0.005739107760531006,0.0011197773105629705,0.17218763961432906,0.1770396310180835,0.559694907146213,0.8025845465694316,0.002001047134399414
2025-10-02_02-36-51,4s,0.42514267562457925,2.9243899654940964,0.010233915975550624,0.0017638714687289328,0.08326734630621958,0.14615450710672806,0.4768195212590543,0.3297350862219895,0.0019979476928710938
2025-10-02_02-37-57,3s,0.6075507024207333,1.8951781840721444,0.006765713658154519,0.0011893681108492125,0.5845556224712527,0.44548541054652835,0.7720227295147245,0.31744757849100413,0.0020008087158203125
2025-10-02_02-38-21,4s,0.388058734878145,3.174215306666981,0.01039133644766901,0.0021548772552491824,0.13934811597079347,0.18643338265122827,1.2689505649120103,0.531858766043838,0.0019979476928710938
2025-10-02_02-48-31,4s,0.4956050212981227,2.775370361067189,0.010021247499948377,0.0018201530181832138,0.27866153174477826,0.1560269350763581,0.4664199120358676,0.8016802700805019,0.001998424530029297
2025-10-02_02-49-11,3s,0.6332292130285591,2.663747054320683,0.005950442815838948,0.0009535241017627474,0.4010265529308807,0.4226548454110052,0.7677125830942205,0.3631096987488855,0.0010008811950683594
2025-10-02_03-10-56,3s,0.6082387203622401,1.9023752017222826,0.006294051852234679,0.0015147481289287488,0.3328662100306985,0.20763897168580067,0.5719656178085347,0.9172496747852223,0.0010004043579101562
2025-10-02_03-11-10,4s,0.3355212184370233,4.16162725765146,0.014250222426293481,0.0073894387496693005,0.5286790126887634,0.6054557420760728,3.354782259815758,1.753064272823019,0.0019965171813964844
2025-10-02_03-12-37,3s,0.6308365608625845,,0.005382944194857594,0.0009569162989759652,0.14208163941148994,0.33690145887925516,0.7838567191818095,0.6213806675548401,0.0010001659393310547
2025-10-02_03-13-19,4s,0.3384289855125563,3.8624366185825694,0.011926193634737695,0.005208548809836818,0.5000529095586805,0.40921238963197704,2.8057195012138365,1.6734300809077733,0.0019981861114501953
2025-10-02_03-27-19,3s,0.6887430160093314,2.112903530222169,0.006600174057053492,0.0012340161849116362,0.34110748783520445,0.4025344079605031,1.1230776720357014,0.593135705164778,0.0010001659393310547
2025-10-02_03-30-43,4s,0.3407926579181694,3.9404821991399386,0.01774524736135906,0.0073289733767404235,0.28941289220235705,0.3223769889573842,1.46595180265328,2.2380765875756454,0.0019989013671875
2025-10-03_00-23-57,3s,0.5048278895866405,2.3076564400775363,0.012482354249404798,0.0018194537188723635,0.020176272619299853,0.021892530680984144,0.5376417120650632,0.6280022318025835,0.0010378360748291016
2025-10-03_00-24-16,4s,0.2402327749410083,5.207447389414335,0.010794059551673717,0.00294429121064834,0.044005270224249,0.06265532251827141,0.9324134682420603,0.668764638323101,0.004982948303222656
2025-10-03_00-46-36,3s,0.5103331424218744,2.6074425914803925,0.009622024269121593,0.0012087096731804672,0.02724170255240048,0.029762936010997082,0.7253588739735538,0.5809706905867219,0.0010046958923339844
2025-10-03_00-46-45,4s,0.19653773445742567,4.8266646444639285,0.009065897619645633,0.002507393987408778,0.020676520423164833,0.024657089300562693,0.5819806057725841,0.592999634311217,0.0022814273834228516
